Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202200165,0;2022-01-04;;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;1253,0;RUA DAS MOCAS;EM FRENTE AO CAMPO DO ARRUDA E AO CERPE;ARRUDA;;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Outros;Outras;;Dupla;Faixa contínua;;
202200176,0;2022-01-04;;COM VÍTIMA;FINALIZADA;APIPUCOS;RUA DE APIPUCOS;;RUA CORONEL JOAO BATISTA DO REGO BARROS;PROXIMO DO AÇUDE;APIPUCOS;540,0;SUBURBIO;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa contínua;;
202200178,0;2022-01-04;;COM VÍTIMA;FINALIZADA;GRAÇAS;AV RUI BARBOSA;1473,0;;EM FRENTE O COLÉGIO DAMAS;GRAÇAS;;CIDADE;ATROPELAMENTO DE PESSOA;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Chuvoso;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Única;Faixa seccionada;;
202200179,0;2022-01-04;;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;1020,0;;EM FRENTE AO POSTO BR, SENT. ENCRUZILHADA;ARRUDA;;CIDADE;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;60 km/h;Dupla;Faixa contínua;;
202200186,0;2022-01-04;;COM VÍTIMA;CANCELADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;2200,0;;EM FRENTE A IMOBILIARIA PAULO MIRANDA;BOA VIAGEM;;;COLISÃO TRASEIRA;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202200189,0;2022-01-04;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;E, BAIXO DA PASSARELA PROX AO EROPORTO S/T SUB;IMBIRIBEIRA;570,0;SUBURBIO;COLISÃO TRASEIRA;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;60 km/h;Única;Faixa contínua;;
202200194,0;2022-01-04;;COM VÍTIMA;FINALIZADA;CASA AMARELA;RUA MAJOR NEREU GUERRA;;RUA MAJOR AFONSO LEAL;E/F A BIBLIOTECA PUBLICA  - COLISÃO ENTRE AUTO E MOTO - ACIDENTE COM DUAS VÍTIMAS;CASA AMARELA;;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Esquina;Bom;Não existe;Incompleta;Seca;Mal conservada;Não existe;Outras;;Única;Faixa seccionada;;
202200196,0;2022-01-04;;SEM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA PLANALTO;157,0;;COMUNIDADE ALTO NOSSA SENHORA DE FÁTIMA;VASCO DA GAMA;;SUBURBIO;CHOQUE;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;;Bom;;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200199,0;2022-01-04;;COM VÍTIMA;FINALIZADA;ILHA DO LEITE;RUA GENERAL JOAQUIM INACIO;;AV FREI MATIAS TEVES;EM FRENTE A FARMACIA INDEPENDENTE;ILHA DO LEITE;;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;40 km/h;Dupla;Faixa seccionada;;
202200211,0;2022-01-04;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV ANTONIO TORRES GALVAO;360,0;;E/F A AMERICA FORD;IMBIRIBEIRA;;;COLISÃO COM CICLISTA;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;R-6a;;Única;Faixa seccionada;;
202200216,0;2022-01-04;;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;1810,0;RUA JEAN EMILE FAVRE;E/F A PADARIA VILA DO PAO / SEMÁFORO 130;IPSEP;130,0;SUBURBIO;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Chuvoso;;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;R-6a;;Dupla;Faixa contínua;Faixa seccionada;
202200238,0;2022-01-05;;COM VÍTIMA;FINALIZADA;DOIS IRMÃOS;RUA MANUEL DE MEDEIROS;450,0;;EM FRENTE A OFICINA MECANICA;DOIS IRMÃOS;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;;;Dupla;Faixa contínua;;
202200257,0;2022-01-05;;COM VÍTIMA;FINALIZADA;CABANGA;VIADUTO CAPITAO TEMUDO;SN;;PROXIMO AO IATE CLUBE;CABANGA;;CIDADE;COLISÃO TRASEIRA;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Viaduto;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Blocos;;
202200259,0;2022-01-05;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;E/F AO MUSEU DA ABOLIÇAO PROX AO VIADUTO;CAXANGÁ;;;COLISÃO COM CICLISTA;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202200268,0;2022-01-05;;SEM VÍTIMA;FINALIZADA;ARRUDA;AV PROFESSOR JOSE DOS ANJOS;162,0;;EM FRENTE AO Nº 162 - SENTIDO CIDADE/SUBÚRBIO;ARRUDA;131,0;SUBURBIO;;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;R-4b;40 km/h;Dupla;Canal;;
202200269,0;2022-01-05;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA MARQUES DO PARANA;;RUA ALFREDO DE CARVALHO;PRÓX AO MARTELINHO DE OURO;ESPINHEIRO;;;COLISÃO TRANSVERSAL;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;Cruzamento;Bom;Não existe;Ilegível;Seca;Perfeito estado;Faixa de pedestre;R-4a;;Única;Não existe;;
202200278,0;2022-01-05;;COM VÍTIMA;FINALIZADA;IBURA;AV DOM HELDER CAMARA;;;AO LADO DO NUCLEO DE POLICIA NA ENTRADA DE IBURA DE BAIXO;IBURA;315,0;;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Não há placas;;Dupla;Faixa contínua;;
202200288,0;2022-01-05;;SEM VÍTIMA;FINALIZADA;ÁGUA FRIA;EST VELHA DE AGUA FRIA;1110,0;;;ÁGUA FRIA;;SUBURBIO;CHOQUE;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Canteiro central;;
202200293,0;2022-01-05;;COM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;AV MILITAR;;1PR DIAS COELHO;E/F AO FORTE DO BRUM;BAIRRO DO RECIFE;;S;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;50 km/h;Única;;;
202200300,0;2022-01-05;;COM VÍTIMA;FINALIZADA;ILHA JOANA BEZERRA;AV GOVERNADOR AGAMENON MAGALHAES;;;E/F A ACADEMIA DA CIDADE;ILHA JOANA BEZERRA;;;CHOQUE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202200302,0;2022-01-06;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;AV JOAO DE BARROS;;;SOB O VIADUTO DA AGAMENOM MAGALHÃES / EM FRENTE A QUITANDARIA;ESPINHEIRO;;SUBURBIO;CHOQUE;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Faixa seccionada;;
202200312,0;2022-01-06;;COM VÍTIMA;FINALIZADA;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;211,0;;LARGO DONA REGINA, EM FRENTE O ATACAREJO O CONDUTOR DO ÔNIBUS INFORMOU QUE O RAPAZ TERIA SE JOGADO NA FRENTE DO COLETIVO;NOVA DESCOBERTA;;;ATROPELAMENTO DE PESSOA;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Nublado;Não existe;Incompleta;Seca;Perfeito estado;Não existe;;;Dupla;Faixa contínua;Faixa seccionada;
202200320,0;2022-01-06;;COM VÍTIMA;FINALIZADA;BARRO;AV DR JOSE RUFINO;1715,0;;NO SEMAFORO 557,;BARRO;;CIDADE;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;60 km/h;Dupla;Faixa contínua;;
202200323,0;2022-01-06;;COM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;969,0;;E/F AO LABORATORIO CERPE, COLISÃO C/VITIMA ENTRE AUTO E MOTO;CASA FORTE;;CIDADE;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;
202200333,0;2022-01-06;;SEM VÍTIMA;FINALIZADA;CASA AMARELA;RUA EUGENIO SAMICO;;RUA OSCAR DE BARROS;AO LADO DO CENTRO DE SAÚDE MÁRIO RAMOS ( PROFESSOR );CASA AMARELA;;SUBURBIO;;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Cruzamento;Bom;Não existe;;Seca;Perfeito estado;Faixa de pedestre;Outras;30 km/h;Dupla;Não existe;;
202200338,0;2022-01-06;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;680,0;RUA BALTAZAR PASSOS;E/F AO EDIFICIO MARIA GUILHERMINA;BOA VIAGEM;154,0;;COLISÃO TRANSVERSAL;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;"Placas ""Pare""";60 km/h;Única;Faixa seccionada;Canteiro central;Canal
202200372,0;2022-01-06;;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;RUA IMPERADOR PEDRO SEGUNDO;;;POR TRAS DO FORUM THOMAZ DE AQUINO, INFORMAÇÃO QUE UM POSTE DESABOU RUIU  SOBRE DOIS VEÍCULOS, CAUSANDO TRANSTONO NA VIA E DANOS MATERIAIS. EQUIPE DE ZONA AZUL MONITORANDO O LOCAL;SANTO ANTÔNIO;203,0;CIDADE;;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;;
202200383,0;2022-01-06;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DOS NAVEGANTES;785,0;RUA ERNESTO DE PAULA SANTOS;EM FRENTE AO EDIFICIO MARIA RENDA;BOA VIAGEM;;SUBURBIO;COLISÃO LATERAL;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;"Placas ""Pare""";;Única;Faixa seccionada;;
202200384,0;2022-01-06;;COM VÍTIMA;FINALIZADA;CORDEIRO;RUA PROFESSOR JOAQUIM XAVIER DE BRITO;166,0;RUA OCIDENTAL;NO SEMAFORO 541;CORDEIRO;541,0;;COLISÃO TRANSVERSAL;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;30 km/h;Dupla;Canteiro central;;
202200399,0;2022-01-06;;COM VÍTIMA;FINALIZADA;IPUTINGA;AV MAURICIO DE NASSAU;455,0;EST DO BARBALHO;EM FRENTE AO JR HORTIFRUTI;IPUTINGA;246,0;;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Faixa contínua;;
202200425,0;2022-01-07;;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;PROX AO POSTO  DISLUB / SENT OLINDA;SANTO AMARO;378,0;;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;;;Não há placas;60 km/h;Dupla;Canteiro central;;
202200437,0;2022-01-07;;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;PRAÇA DO DERBY;DERBY;75,0;BOA VIAGEM;COLISÃO TRASEIRA;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Outras;60 km/h;Dupla;Canteiro central;;
202200438,0;2022-01-07;;COM VÍTIMA;FINALIZADA;LINHA DO TIRO;RUA URIEL DE HOLANDA;274,0;;EM FRENTE A CLINICA CENTRAL;LINHA DO TIRO;;SUBURBIO;ATROPELAMENTO DE PESSOA;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Outras;30 km/h;Dupla;Não existe;;
202200439,0;2022-01-07;;SEM VÍTIMA;CANCELADA;BOA VISTA;AV CONDE DA BOA VISTA;;;E/F A GRÁFICA NACIONAL;BOA VISTA;;SUBURBIO;COLISÃO TRASEIRA;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
202200453,0;2022-01-07;;COM VÍTIMA;CANCELADA;AFOGADOS;RUA CINCO DE NOVEMBRO;171,0;RUA JACIRA;PRÓX À IGREJA METODISTA  E BIBLIOTECA MUNICIPAL DE AFOGADOS;AFOGADOS;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202200472,0;2022-01-07;;COM VÍTIMA;FINALIZADA;PINA;AV ENCANTA MOCA;15,0;;PROX A LANCHONETE DO MAGAIVER;PINA;;SUBURBIO;COLISÃO FRONTAL;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200483,0;2022-01-08;;COM VÍTIMA;FINALIZADA;JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;;NO SENTIDO  BOA VIAGEM;JOANA BEZERRA;;CIDADE;COLISÃO FRONTAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Viaduto;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Faixa seccionada;;
202200541,0;2022-01-08;;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA DA PAZ;204,0;RUA NICOLAU PEREIRA;EM FRENTE ACAIXA ECONOMICA FEDERAL. SITUAÇÃO ATIPICA ACIDENTE COM VÍTIMA ONDE O SUSPEITO DE FURTO FOI COLIDIDU POR OUTRO VEÍCULO REAGINDO A INVESTIDADO SUSPEITO QUE CONDUZIA UMA MOTO;AFOGADOS;;SUBURBIO;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;R-6a;;Única;Não existe;;
202200544,0;2022-01-08;;COM VÍTIMA;DUPLICIDADE;AFOGADOS;RUA DA PAZ;239,0;;EM FRENTE À CAIXA ECONÔMICA;AFOGADOS;;;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202200545,0;2022-01-08;;COM VÍTIMA;FINALIZADA;CASA AMARELA;RUA PADRE LEMOS;;;ENFRENTE AO MERCADO DE CASA AMARELA / ATACAREJO;CASA AMARELA;;CIDADE;ATROPELAMENTO DE PESSOA;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Não existe;;
202200547,0;2022-01-08;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DES JOAO PAES;656,0;;PROX AO RESTAURANTE BODE DO NO / EM FRENTE AO ED MERIDIEN;BOA VIAGEM;;SUBURBIO;CHOQUE;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;"Placas ""Pare""";30 km/h;Única;Não existe;;
202200548,0;2022-01-08;;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;PRÓX AO POSTO DISLUB;SANTO AMARO;378,0;OLINDA;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Dupla;Canal;Faixa seccionada;
202200556,0;2022-01-08;;COM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;;RUA PIAUI;ENFRENTE AO CENTRO MEDICO SENADOR  / AO LADO POSTO DISLUB;CASA FORTE;251,0;;COLISÃO FRONTAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Outros;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Não existe;;
202200571,0;2022-01-09;;COM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;CAIS DO APOLO;;;ANTES DA RUA RIO BRANCO / OPOSTO AO BANCO DO BRASIL;BAIRRO DO RECIFE;;;QUEDA;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Canteiro central;;
202200589,0;2022-01-09;;COM VÍTIMA;FINALIZADA;IPUTINGA;RUA SAO MATEUS;717,0;RUA JOSE FELIPE SANTIAGO;EM FRENTE A ASSEMBLEIA DE DEUS;IPUTINGA;;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Incompleta;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Não existe;;
202200624,0;2022-01-09;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA ALFREDO DE CARVALHO;150,0;RUA ALFREDO DE MEDEIROS;PRÓX AO EXTRA;ESPINHEIRO;;SUBURBIO;CHOQUE;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6b;30 km/h;Única;Não existe;;
202200633,0;2022-01-10;;SEM VÍTIMA;FINALIZADA;ILHA DO LEITE;AV GOVERNADOR AGAMENON MAGALHAES;4779,0;;EM FRENTE AO ISAAC NEWTON;ILHA DO LEITE;;;COLISÃO LATERAL;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
202200655,0;2022-01-10;;COM VÍTIMA;FINALIZADA;CORDEIRO;AV CAXANGA;4038,0;EST DO BARBALHO;CRUZAMENTO;CORDEIRO;533,0;SUBURBIO;ATROPELAMENTO DE PESSOA;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Não há placas;60 km/h;Única;Faixa contínua;Faixa seccionada;Canteiro central
202200670,0;2022-01-10;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA AMELIA;;RUA ESMERALDINO BANDEIRA;EM FRENTE AO BAR E RESTAURANTE TRADICAO;ESPINHEIRO;675,0;CIDADE;COLISÃO TRANSVERSAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Com defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;;
